122,Memory,Crucial,Ballistix Tactical ,16GB,http://www.amazon.com/dp/B0091L1MRY/?tag=aindexpc-20,184.90,,"<ul>
        <li>Designed for performance enthusiasts, gamers and power users</li>
        <li>Enhanced heat spreader</li>
        <li>Crucial: a trusted name in memory</li>
        <li>Advanced Speeds and timings (XMP Profile)</li>
        <li>Red and Green LEDs</li>
</ul>"
123,Memory,Crucial,Ballistix Tactical ,32GB,http://www.amazon.com/dp/B00A14ZT7E/?tag=aindexpc-20,334.92,,"<ul>
        <li>Designed for performance enthusiasts, gamers and power users</li>
        <li>Enhanced heat spreader</li>
        <li>Low Profile and Low Voltage</li>
        <li>Industry Standard specifications</li>
        <li>Advanced Speeds and timings (XMP Profile)</li>
        <li>A Micron CPG Product</li>
</ul>"
124,Memory,Crucial,Ballistix Tactical ,8GB,http://www.amazon.com/dp/B006YG9CKS/?tag=aindexpc-20,109.99,,"<ul>
        <li>Designed for performance enthusiasts, gamers and power users</li>
        <li>Enhanced heat spreader</li>
        <li>Crucial: a trusted name in memory</li>
        <li>Advanced Speeds and timings (XMP Profile)</li>
        <li>Switch between red/green and blue/orange LED color combinations on the fly</li>
        <li>Limited Lifetime Warranty</li>
</ul>"
125,Video-Card,EVGA,GeForce GTX 760,2GB,http://www.amazon.com/dp/B00DHW4HXY/?tag=aindexpc-20,228.53,,"<ul>
        <li>Base Clock: 1072 MHz</li>
        <li>Boost Clock: 1137 MHz</li>
        <li>Memory Clock: 6008 MHz Effective</li>
        <li>CUDA Cores: 1152</li>
        <li>2048MB GDDR5 256bit Memory</li>
        <li>Microsoft DirectX 12 API (feature level 11_0) Support</li>
</ul>"
126,Video-Card,ASUS,GeForce GTX 770 ,2GB,http://www.amazon.com/dp/B00D3F7CFK/?tag=aindexpc-20,388.94,,"<ul>
        <li>DirectCU II with precision-shaped SSU heatpipes utilizes highly-conductive copper and directly-centered GPU placement to double cooling efficiency in the same space</li>
        <li>DIGI+ VRM with 10-phase Super Alloy Power precise digital delivery for superior efficiency, reliability, and performance</li>
        <li>GPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface</li>
</ul>"
127,Video-Card,ASUS,GeForce GTX 760,2GB,http://www.amazon.com/dp/B00DBPKEOI/?tag=aindexpc-20,237.86,,"<ul>
        <li>DirectCU II achieves 20% lower temps with direct-contact copper heatpipes while running vastly quieter than reference</li>
        <li>Direct Power ensures stable performance with 56% less impedance and a 17% cooler PCB</li>
        <li>Super Alloy Power components increase product longevity by up to 2.5X compared to reference</li>
        <li>GPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface</li>
</ul>"
128,SSD,Samsung,840 EVO ,120GB,http://www.amazon.com/dp/B00E3W15P0/?tag=aindexpc-20,82.95,,"<ul>
        <li>Worry-free data security with AES 256-bit full-disk encryption</li>
        <li>No moving parts means no hard drive spin ups, no noise and superior data protection</li>
        <li>An innovative lightweight design that allows you to work smarter and play longer.</li>
        <li>Sequential Read Speed 540 MB / Sequential Write Speed 410 MB / Random Read Speed 94K / Random Write Speed 35K</li>
        <li>Samsung's TurboWrite technology, 840 EVO can deliver much faster sequential write speeds compared to the previous 840 model, tripling the speed from 130 to 410MB/s in 120GB drives, and doubling it from 250 to 520MB/s in 250GB drives</li>
</ul>"
129,SSD,Samsung,840 EVO ,250GB,http://www.amazon.com/dp/B00E3W1726/?tag=aindexpc-20,125.93,,"<ul>
        <li>Highest-quality components and engineering from the #1 memory manufacturer</li>
        <li>Worry-free data security with AES 256-bit full-disk encryption</li>
        <li>No moving parts means no hard drive spin ups, no noise and superior data protection</li>
        <li>An innovative lightweight design that allows you to work smarter and play longer.</li>
        <li>Sequential Read Speed 540 MB / Sequential Write Speed 520 MB / Random Read Speed 97K / Random Write Speed 66K</li>
</ul>"
130,SSD,Samsung,840 EVO ,500GB,http://www.amazon.com/dp/B00E3W19MO/?tag=aindexpc-20,243.99,,"<ul>
        <li>Highest-quality components and engineering from the #1 memory manufacturer</li>
        <li>Worry-free data security with AES 256-bit full-disk encryption</li>
        <li>No moving parts means no hard drive spin ups, no noise and superior data protection</li>
        <li>An innovative lightweight design that allows you to work smarter and play longer.</li>
        <li>Sequential Read Speed 540 MB / Sequential Write Speed 520 MB / Random Read Speed 98K / Random Write Speed 90K</li>
</ul>"
131,Hard-Drive,Seagate,Barracuda ,1TB,http://www.amazon.com/dp/B00FJRS6FU/?tag=aindexpc-20,74.45,,"<ul>
        <li>Next-generation desktop performance hard drive designed to intensify your PC experience.</li>
        <li>Improved Architectural Designs, featuring a Dual Core Processor, High Resolution Controller, and StableTrac Technology</li>
        <li>Improved Data Protection, with Vibration Control Technology, Corruption Protection Technology, and No Touch Ramp Load Technology</li>
        <li>1 TB capacity holds up to 200,000 digital photos, 250,000 MP3 files, and 120 hours of HD video.</li>
        <li>Superior responsiveness with the next-generation speed that you need</li>
        <li>5 year limited warranty.</li>
        <li>Package includes a hard drive only - no screws, cables, manuals included. Please purchase mounting hardware and cables separately if necessary.</li>
</ul>"
